[     784ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ https://ob-punch-mco.vercel.app/:0
[    1108ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[   60774ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  108357ms] [ERROR] Failed to load resource: the server responded with a status of 409 () @ https://ob-punch-mco.vercel.app/api/punch:0
[  120770ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  180925ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  240751ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  300798ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  360777ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  420846ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  481160ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  540907ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  600765ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  660958ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  720799ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  783254ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  840790ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  900813ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  960771ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1020795ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1080775ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1140762ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1200763ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1260780ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1320883ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1380774ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1440766ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1500810ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[ 1560805ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
