[    1315ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ https://ob-punch-mco.vercel.app/?v=7ef12c6:0
[    1936ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[   61379ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  121410ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  181405ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  241396ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  301375ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  361399ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  421374ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  481490ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  541405ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  601401ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  661403ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  721445ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
[  781404ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://estiigbmmcrzkgjtqmsr.supabase.co/rest/v1/rpc/now:0
